env,curve,could_fit,experiment_id,set_id,sample_id,value,_time,_bnorm_avg,_bnorm_std
B24731_XPD_704_NB1,11,0,20190430,P3V1,T4,76359,44.6,0.718101016,0.153489285
B24731_XPD_704_NB1,11,0,20190430,P3V1,T5,95949,64.25,0.88727951,0.210375376
B24731_XPD_704_NB1,11,0,20190430,P3V1,T6,95181,84.71666667,0.855377884,0.233881828
B24731_XPD_704_NB1,11,0,20190430,P3V1,ZERO,1744,0,0,
B24731_XPD_704_NB1,12,0,20190430,P3V2,C,1917,0,0.010763775,0.003795173
B24731_XPD_704_NB1,12,0,20190430,P3V2,INFTY,52032,109.8,1,0.197027064
B24731_XPD_704_NB1,12,0,20190430,P3V2,T1,3607,4.933333333,0.046272676,0.010779444
B24731_XPD_704_NB1,12,0,20190430,P3V2,T2,11832,9,0.200307536,0.03392192
B24731_XPD_704_NB1,12,0,20190430,P3V2,T3,30651,24.28333333,0.582097114,0.118105321
B24731_XPD_704_NB1,12,0,20190430,P3V2,T4,46787,44.6,0.873092341,0.152347275
B24731_XPD_704_NB1,12,0,20190430,P3V2,T5,56329,64.25,1.055001022,0.183040486
B24731_XPD_704_NB1,12,0,20190430,P3V2,T6,53358,84.71666667,0.991822731,0.167369556
B24731_XPD_704_NB1,12,0,20190430,P3V2,ZERO,1457,0,0,
B24731_XPD_704_NB1,13,1,20190506,P6V3,C,2273,0,-0.00131191,-0.003960292
B24731_XPD_704_NB1,13,1,20190506,P6V3,INFTY,145262,131.2,1,0.443277688
B24731_XPD_704_NB1,13,1,20190506,P6V3,T1,17912,4.083333333,0.11455066,0.044714882
B24731_XPD_704_NB1,13,1,20190506,P6V3,T2,31291,6.8,0.244438272,0.076835844
B24731_XPD_704_NB1,13,1,20190506,P6V3,T3,118330,26.25,0.828656895,0.347099005
B24731_XPD_704_NB1,13,1,20190506,P6V3,T4,140689,45.38333333,1.085577539,0.366878466
B24731_XPD_704_NB1,13,1,20190506,P6V3,T5,150675,65.3,1.077248836,0.432101771
B24731_XPD_704_NB1,13,1,20190506,P6V3,T6,165948,85.16666667,1.045587795,0.596995051
B24731_XPD_704_NB1,13,1,20190506,P6V3,ZERO,2636,0,0,
B24731_XPD_704_NB1,14,1,20190506,P6V4,C,2174,0,0.000284847,0.00061702
B24731_XPD_704_NB1,14,1,20190506,P6V4,INFTY,183068,131.2,1,0.12610883
B24731_XPD_704_NB1,14,1,20190506,P6V4,T1,3125,4.083333333,0.007667369,0.002180117
B24731_XPD_704_NB1,14,1,20190506,P6V4,T2,8294,6.8,0.039831559,0.005817243
B24731_XPD_704_NB1,14,1,20190506,P6V4,T3,112244,26.25,0.626031468,0.063276462
B24731_XPD_704_NB1,14,1,20190506,P6V4,T4,142462,45.38333333,0.82303676,0.073425049
B24731_XPD_704_NB1,14,1,20190506,P6V4,T5,153406,65.3,0.902256456,0.08266246
B24731_XPD_704_NB1,14,1,20190506,P6V4,T6,163846,85.16666667,0.97293956,0.092547686
B24731_XPD_704_NB1,14,1,20190506,P6V4,ZERO,2022,0,0,
B24731_XPD_704_NB1,15,1,20190506,P8V3,C,2570,0,0.002641827,0.003947945
B24731_XPD_704_NB1,15,1,20190506,P8V3,INFTY,122360,127.3166667,1,0.272758277
B24731_XPD_704_NB1,15,1,20190506,P8V3,T1,11043,2.733333333,0.077288796,0.018127062
B24731_XPD_704_NB1,15,1,20190506,P8V3,T2,24507,5.216666667,0.220292444,0.04441215
B24731_XPD_704_NB1,15,1,20190506,P8V3,T3,111679,24.33333333,0.983388155,0.203457421
B24731_XPD_704_NB1,15,1,20190506,P8V3,T4,115566,43.38333333,1.091159568,0.212188646
B24731_XPD_704_NB1,15,1,20190506,P8V3,T5,136258,63.25,1.190301329,0.254367109
B24731_XPD_704_NB1,15,1,20190506,P8V3,T6,136649,83.2,1.114581561,0.308897927
B24731_XPD_704_NB1,15,1,20190506,P8V3,ZERO,2384,0,0,
B24731_XPD_704_NB1,16,1,20190506,P8V4,C,2206,0,0.000363679,0.001057951
B24731_XPD_704_NB1,16,1,20190506,P8V4,INFTY,141285,127.3166667,1,0.045639571
B24731_XPD_704_NB1,16,1,20190506,P8V4,T1,2300,2.733333333,0.001498799,0.000627059
B24731_XPD_704_NB1,16,1,20190506,P8V4,T2,7856,5.216666667,0.044592937,0.003331543
B24731_XPD_704_NB1,16,1,20190506,P8V4,T3,102621,24.33333333,0.766503317,0.046397568
B24731_XPD_704_NB1,16,1,20190506,P8V4,T4,132741,43.38333333,0.892777112,0.099397441
B24731_XPD_704_NB1,16,1,20190506,P8V4,T5,130203,63.25,0.929894423,0.034139128
B24731_XPD_704_NB1,16,1,20190506,P8V4,T6,150027,83.2,1.018338244,0.102573744
B24731_XPD_704_NB1,16,1,20190506,P8V4,ZERO,2125,0,0,
